filename type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
string enum enum numeric numeric numeric enum enum
VELA02_a0.310_0006539__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 310 2.982 2.22580645161 5 F160W 22.2707 0.0806 22.5963 0.0779 25.3197 0.0222 3.0077 0.1002 1.5164332746 0.0505192054111 0.7917 0.1183 0.8385 0.0400 73.8715 10.4360 0.310279027855 2.152e-04
VELA02_a0.310_0006539__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 310 2.982 2.22580645161 6 F160W 23.0658 0.1193 23.3093 0.0632 25.0877 0.0208 5.3284 0.1818 2.68649235641 0.0916605942489 0.8867 0.1068 0.4274 0.0160 -71.9487 1.5490 0.425787719673 -7.793e-06
VELA02_a0.310_0006539__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 310 2.982 2.22580645161 7 F160W 22.5196 0.0706 22.7733 0.0605 25.2838 0.0197 3.3157 0.1379 1.67172185012 0.0695269304011 1.0026 0.1485 0.7928 0.0352 -49.4360 6.8743 0.326713341261 1.067e-04
VELA02_a0.310_0006539__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 310 2.982 2.22580645161 8 F160W 22.5755 0.0822 22.7717 0.0769 25.3142 0.0191 3.0521 0.1106 1.53881903029 0.0557627157532 0.8790 0.1183 0.9017 0.0400 -51.5918 16.9742 0.345431971653 1.473e-04
VELA02_a0.320_0003230__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 320 3.124 2.125 0 F160W 22.9055 0.0675 20.1374 0.1098 24.6814 0.0175 5.6645 0.1273 2.87523018823 0.0646159066046 0.5446 0.0534 0.5608 0.0128 12.4905 1.6587 0.404996856872 1.308e-04
VELA02_a0.320_0003230__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 320 3.124 2.125 1 F160W 24.7846 0.0917 22.3670 0.0568 24.9839 0.0162 4.4429 0.1148 2.25516112689 0.0582710611014 0.3227 0.0460 0.5104 0.0171 -83.7625 1.7589 0.31563559754 1.921e-05
VELA02_a0.320_0003230__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits other VELA02 320 3.124 2.125 1 F160W 28.0800 0.1453 36.5661 0.2237 25.8154 0.1948 6.7802 2.1991 3.44154571846 1.11623597969 2.6155 0.8855 0.4196 0.0494 3.7177 4.6720 1.03947188463 1.921e-05
VELA02_a0.320_0003230__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 320 3.124 2.125 5 F160W 20.5770 0.0507 21.0276 0.0548 24.6437 0.0163 5.8221 0.0909 2.95522600033 0.0461397164993 0.2443 0.0325 0.5116 0.0114 -43.7716 1.2437 0.385652836686 9.422e-05
VELA02_a0.320_0003230__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 320 3.124 2.125 6 F160W 24.1908 0.0940 22.1320 0.0633 24.9542 0.0179 3.9986 0.1226 2.02963993833 0.0622302446954 0.5837 0.0593 0.7097 0.0255 81.0947 3.6937 0.326786784244 1.286e-04
VELA02_a0.320_0003230__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 320 3.124 2.125 7 F160W 20.0914 0.1101 23.6621 0.0615 24.5926 0.0185 6.3477 0.1591 3.22201406405 0.0807571935647 0.8442 0.0761 0.4303 0.0125 72.3243 1.1989 0.443616458567 2.111e-05
VELA02_a0.320_0003230__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 320 3.124 2.125 8 F160W 19.7955 0.1101 23.5170 0.0643 24.6056 0.0178 6.4835 0.1348 3.2909444656 0.0684228139065 0.5817 0.0535 0.4531 0.0117 80.7828 1.1770 0.459840184233 4.717e-05
VELA02_a0.330_0007854__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 330 3.268 2.0303030303 0 F160W 23.4702 0.0542 24.9182 0.0773 24.1058 0.0127 5.5976 0.1366 2.85723565737 0.0697260237954 1.1430 0.0761 0.5910 0.0147 11.0645 1.6707 0.346514790539 4.086e-05
VELA02_a0.330_0007854__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 330 3.268 2.0303030303 1 F160W 22.6368 0.0654 23.5508 0.0467 24.2542 0.0221 4.6040 0.1512 2.35006305676 0.077178439223 2.1688 0.1834 0.4843 0.0177 87.1521 1.5782 0.222357597841 4.464e-05
