galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
disk VELA02 290 2.704 2.44827586207 0 F160W 27.2991 0.9890 21.0694 1.1418 26.2245 0.3483 5.3679 1.5341 2.66065461979 0.760392379183 1.0000 0.0 0.2303 0.1677 25.4804 13.2821 0.524446666718 9.827e-05
bulge VELA02 290 2.704 2.44827586207 0 F160W 20.6126 0.6722 20.0861 0.9457 25.7128 0.1676 4.7984 65.6805 2.37837611125 32.5552126074 0.0448 1.3973 0.4731 0.2547 -2.6295 21.9757 0.25014920238 9.827e-05
disk VELA02 290 2.704 2.44827586207 5 F160W 26.5553 1.0274 26.5998 5.3375 25.8968 29.5620 9.614e-03 2.334e-01 0.00476527757869 0.115687100777 1.0000 0.0 0.0467 0.5352 21.6285 22.9783 0 3.145e-04
bulge VELA02 290 2.704 2.44827586207 5 F160W 16.2929 4896.8599 18.4886 6862.1489 25.7080 3761.7961 5.228e-03 8.287e+00 0.00259131175176 4.10753643588 5.1868 1812.5885 0.0610 517.4899 -4.4723 543.9801 0 3.145e-04
disk VELA02 290 2.704 2.44827586207 6 F160W 26.5057 49.6269 22.5141 3565.6946 26.2519 89.4250 5.994e-03 4.671e-01 0.00297098749809 0.231522899626 1.0000 0.0 0.3455 35.6507 19.3379 37.9995 0 1.930e-04
other VELA02 290 2.704 2.44827586207 6 F160W 29.0662 1.1662 37.2539 0.9518 26.8385 0.4053 0.7697 1.9491 0.381509689236 0.966091380135 3.4833 24.7803 0.6383 1.9130 -2.3302 244.2218 1.65446265022 1.930e-04
bulge VELA02 290 2.704 2.44827586207 6 F160W 21.7121 59.5450 18.0337 592.3626 26.1830 3840.3374 5.546e-03 3.841e+01 0.00274893170911 19.0383099436 7.0940 14006.2441 0.2594 1296.2097 -77.8024 86765.3594 0 1.930e-04
disk VELA02 290 2.704 2.44827586207 7 F160W 19.0445 0.0003 17.2912 0.0002 23.1387 0.0000 3.840e-03 8.096e-03 0.00190333533411 0.00401286532942 1.0000 0.0 0.0498 0.0006 -34.0567 0.0000 0 1.349e-05
bulge VELA02 290 2.704 2.44827586207 7 F160W 22.2849 0.5515 21.7986 0.6399 25.2054 0.2185 4.4722 1.1356 2.2166917399 0.562871772245 0.2421 0.3720 0.6490 0.1659 -58.9005 28.4449 0.295456664062 1.349e-05
disk VELA02 290 2.704 2.44827586207 8 F160W 25.4425 3.9590 25.1897 4.0437 26.7365 1.2326 4.2862 3.0365 2.12449893466 1.50507232865 1.0000 0.0 0.0834 0.7115 -41.2699 27.4122 0.286726579432 -2.490e-05
bulge VELA02 290 2.704 2.44827586207 8 F160W 21.4428 0.6509 21.1565 0.7022 25.4058 0.3477 3.8971 1.0358 1.931637534 0.513404879967 0.6125 0.4531 0.8952 0.2585 59.6706 121.3158 0.237371132294 -2.490e-05
disk VELA02 300 2.842 2.33333333333 0 F160W 21.3792 4.2321 22.5310 3.7556 26.5294 5.0328 15.2134 89.4132 7.60993881728 44.725635391 1.0000 0.0 1.492e-03 3.134e-03 -48.5393 0.1591 0 3.079e-04
bulge VELA02 300 2.842 2.33333333333 0 F160W 20.9897 0.6694 21.6993 0.5452 24.9884 0.1849 4.9399 0.9043 2.47100166718 0.4523425186 0.3219 0.3523 0.7576 0.1419 -50.7595 28.9511 0.274315319491 3.079e-04
