galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
central VELA02 360 3.709 1.77777777778 7 F160W 300.1057 299.2677 17.9851 36.0056 4.3046855136 1.3853 0.6279 89.3569 0.000e+00
central VELA02 360 3.709 1.77777777778 8 F160W 300.1154 299.4114 17.9676 35.6181 4.2583575636 1.4104 0.6399 89.4528 0.000e+00
central VELA02 370 3.859 1.7027027027 0 F160W 301.0221 300.2082 17.8594 34.8108 4.1618400048 1.4901 0.8963 -39.1436 0.000e+00
central VELA02 370 3.859 1.7027027027 1 F160W 300.1097 299.2182 18.1478 46.7598 5.5904146488 1.0410 0.5359 86.8206 0.000e+00
central VELA02 370 3.859 1.7027027027 5 F160W 298.5697 298.5870 17.9884 41.7538 4.9919173128 1.1659 0.6750 -89.1610 0.000e+00
central VELA02 370 3.859 1.7027027027 6 F160W 302.9065 299.4698 18.0831 38.1859 4.5653534604 1.2081 0.7325 85.8910 0.000e+00
central VELA02 370 3.859 1.7027027027 7 F160W 300.0021 299.0604 17.9378 39.0803 4.6722843468 1.3252 0.5938 87.6873 0.000e+00
central VELA02 370 3.859 1.7027027027 8 F160W 299.6613 299.0792 17.9397 39.4994 4.7223902664 1.2934 0.6031 89.1681 0.000e+00
other VELA02 380 4.010 1.63157894737 0 F160W 315.6059 289.2191 18.6639 77.0569 9.2126147364 0.3335 0.9682 -2.3928 0.000e+00
central VELA02 380 4.010 1.63157894737 0 F160W 300.3713 300.6042 18.2456 24.2580 2.900189448 2.0963 0.9559 -66.1514 0.000e+00
central VELA02 380 4.010 1.63157894737 1 F160W 297.4365 300.6207 18.0420 47.5939 5.6901363084 0.9992 0.4620 87.9769 0.000e+00
central VELA02 380 4.010 1.63157894737 5 F160W 303.1180 300.1143 17.9400 48.4005 5.786570178 1.0114 0.5108 -84.8177 0.000e+00
central VELA02 380 4.010 1.63157894737 6 F160W 303.8248 300.9696 18.0434 43.7228 5.2273230768 0.9340 0.6670 -86.2449 0.000e+00
central VELA02 380 4.010 1.63157894737 7 F160W 301.3308 301.8819 17.9511 44.2900 5.29513524 1.1126 0.5366 -87.7258 0.000e+00
central VELA02 380 4.010 1.63157894737 8 F160W 301.6491 301.8892 17.9510 45.6343 5.4558543708 1.0773 0.5269 -87.7002 0.000e+00
central VELA02 390 4.162 1.5641025641 0 F160W 300.2804 299.1394 17.7881 37.2875 4.45794435 1.4065 0.9555 -76.7987 0.000e+00
other VELA02 390 4.162 1.5641025641 0 F160W 583.0516 534.5756 19.0018 24.9672 2.9849785632 1.1821 0.7885 -60.5900 0.000e+00
central VELA02 390 4.162 1.5641025641 1 F160W 301.0146 300.0611 17.9233 53.0932 6.3476106192 0.9403 0.4178 84.9934 0.000e+00
central VELA02 390 4.162 1.5641025641 5 F160W 296.9579 299.2581 17.7974 45.9428 5.4927373968 1.0902 0.5103 -86.8161 0.000e+00
central VELA02 390 4.162 1.5641025641 6 F160W 300.3539 298.8903 17.8495 46.1525 5.51780829 1.0247 0.5432 -87.1526 0.000e+00
central VELA02 390 4.162 1.5641025641 7 F160W 295.2301 300.0040 17.9206 53.3842 6.3824014152 0.8716 0.4383 -89.0962 0.000e+00
central VELA02 390 4.162 1.5641025641 8 F160W 294.0310 300.1999 17.9063 52.8415 6.317518374 0.7958 0.4405 -89.3076 0.000e+00
central VELA02 400 4.316 1.5 0 F160W 301.2008 303.3531 17.5518 56.1940 6.718329864 0.7202 0.8930 13.8988 0.000e+00
other VELA02 400 4.316 1.5 0 F160W 385.2408 389.7821 18.8396 22.8056 2.7265463136 1.1780 0.8938 -18.5243 0.000e+00
other VELA02 400 4.316 1.5 1 F160W 250.0663 177.2078 18.9278 23.0318 2.7535898808 1.3124 0.6951 52.8483 0.000e+00
central VELA02 400 4.316 1.5 1 F160W 304.1076 299.0765 17.6229 53.9152 6.4458856512 0.7428 0.3938 85.7352 0.000e+00
central VELA02 400 4.316 1.5 5 F160W 302.1713 300.9895 17.4926 52.9423 6.3295696188 0.7303 0.4284 86.0594 0.000e+00
other VELA02 400 4.316 1.5 5 F160W 415.6327 198.5515 18.9105 22.9229 2.7405702324 1.7172 0.7039 -52.1607 0.000e+00
other VELA02 400 4.316 1.5 6 F160W 294.0706 239.6426 18.7109 23.7622 2.8409135832 1.9136 0.8012 -61.4115 0.000e+00
central VELA02 400 4.316 1.5 6 F160W 293.9445 301.0480 17.5764 64.3171 7.6894952076 0.5800 0.3900 -84.0568 0.000e+00
other VELA02 400 4.316 1.5 7 F160W 498.3475 284.5016 20.6308 1269.9684 151.83234203 18.3303 0.7936 16.0475 0.000e+00
other VELA02 400 4.316 1.5 7 F160W 422.9579 177.2439 18.9466 21.1147 2.5243890732 1.4454 0.8698 -72.9579 0.000e+00
central VELA02 400 4.316 1.5 7 F160W 298.1757 300.7128 17.5716 51.2594 6.1283688264 0.9435 0.3895 84.4269 0.000e+00
other VELA02 400 4.316 1.5 8 F160W 493.9668 289.0396 21.5150 14.8410 1.774330596 2.1697 0.9278 -46.6712 0.000e+00
other VELA02 400 4.316 1.5 8 F160W 423.5164 179.1850 18.9320 21.2579 2.5415094924 1.6262 0.8536 -70.9114 0.000e+00
central VELA02 400 4.316 1.5 8 F160W 298.5521 300.7150 17.5703 50.3679 6.0217846524 0.9343 0.4032 84.9826 0.000e+00
other VELA02 410 4.471 1.43902439024 0 F160W 186.2865 124.6356 18.5619 30.8955 3.693742398 2.3565 0.6809 -12.6032 0.000e+00
central VELA02 410 4.471 1.43902439024 0 F160W 302.1998 305.6852 17.2630 51.8177 6.1951169412 1.0993 0.9721 -51.0823 0.000e+00
central VELA02 410 4.471 1.43902439024 1 F160W 306.8114 303.7741 17.4845 51.6328 6.1730110368 1.0547 0.4410 88.4221 0.000e+00
other VELA02 410 4.471 1.43902439024 1 F160W 247.6664 563.6686 18.7446 20.9362 2.5030483272 2.4252 0.8429 -7.8545 0.000e+00
