galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 270 2.434 2.7037037037 7 F160W 297.5929 0.0840 301.8329 0.0694 19.2007 0.0025 40.2019 0.0935 40.2019 0.0935 0.7842 0.0020 0.8595 0.0013 -83.8645 0.4989 0.444176213232 0.000e+00
central VELA02 270 2.434 2.7037037037 8 F160W 297.2379 0.0830 301.6875 0.0681 19.1958 0.0025 40.0219 0.0924 40.0219 0.0924 0.8168 0.0020 0.8537 0.0013 -85.8003 0.4631 0.428871309279 0.000e+00
central VELA02 280 2.568 2.57142857143 0 F160W 302.3469 0.0911 303.2045 0.1049 19.1213 0.0028 52.9806 0.1046 52.9806 0.1046 0.5229 0.0015 0.8895 0.0017 76.5897 0.5675 0.553266741335 0.000e+00
central VELA02 280 2.568 2.57142857143 1 F160W 293.9032 0.0854 297.1350 0.0309 19.1259 0.0022 49.1718 0.0798 49.1718 0.0798 0.5433 0.0019 0.3569 0.0006 -87.7363 0.0511 0.417727354484 0.000e+00
other VELA02 280 2.568 2.57142857143 1 F160W 18.8201 0.1701 173.0397 0.2524 23.2396 0.0142 31.0333 0.3180 31.0333 0.318 1.4235 0.0209 0.3608 0.0057 36.4959 0.3253 0.907761829643 0.000e+00
central VELA02 280 2.568 2.57142857143 5 F160W 301.3099 0.0833 301.6868 0.0599 19.1465 0.0025 42.3706 0.0892 42.3706 0.0892 0.7622 0.0020 0.7657 0.0012 87.7046 0.2900 0.431110653822 0.000e+00
other VELA02 280 2.568 2.57142857143 5 F160W 371.7689 0.0905 250.3262 0.0517 21.1409 0.0070 19.7496 0.1336 19.7496 0.1336 0.8257 0.0116 0.5537 0.0036 -68.0617 0.3813 0.64397204723 0.000e+00
central VELA02 280 2.568 2.57142857143 6 F160W 298.8391 0.0766 299.7007 0.0271 19.2938 0.0022 48.6303 0.0707 48.6303 0.0707 0.5792 0.0014 0.3153 0.0006 -89.6261 0.0457 0.343381333154 0.000e+00
other VELA02 280 2.568 2.57142857143 6 F160W 383.9400 0.0376 279.4236 0.0328 20.7948 0.0045 12.6917 0.0500 12.6917 0.05 0.9010 0.0080 0.8849 0.0036 19.4246 1.3791 0.514999130774 0.000e+00
other VELA02 280 2.568 2.57142857143 7 F160W 327.0974 0.1052 220.6662 0.0524 21.2837 0.0079 19.7875 0.1739 19.7875 0.1739 1.1622 0.0162 0.4623 0.0035 81.3840 0.3360 0.620689153886 0.000e+00
central VELA02 280 2.568 2.57142857143 7 F160W 302.6166 0.0800 301.6474 0.0807 19.1720 0.0026 41.8061 0.0891 41.8061 0.0891 0.7232 0.0016 0.8793 0.0016 -85.7076 0.5999 0.467473450413 0.000e+00
other VELA02 280 2.568 2.57142857143 8 F160W 335.6349 0.1158 223.7852 0.0578 21.2683 0.0081 20.7749 0.1825 20.7749 0.1825 1.1033 0.0159 0.4589 0.0035 86.7245 0.3348 0.643640058662 0.000e+00
