galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
other VELA28 290 2.704 2.44827586207 8 F160W 332.2534 284.6833 20.9109 37.5859 4.4936198604 0.5607 0.3738 24.2377 0.000e+00
disk VELA28 290 2.704 2.44827586207 8 F160W 298.8590 301.7080 21.3007 8.2438 0.9855957528 1.0000 0.6684 61.2754 0.000e+00
other VELA28 290 2.704 2.44827586207 8 F160W 339.6808 277.9753 21.8636 10.6494 1.2731996664 0.2247 0.3571 -0.6784 0.000e+00
bulge VELA28 290 2.704 2.44827586207 8 F160W 303.5021 299.4053 21.3178 16.6413 1.9895672628 3.1158 0.5316 -72.1004 0.000e+00
other VELA28 300 2.842 2.33333333333 0 F160W 178.5167 365.2536 20.3788 12.5326 1.4983475256 1.7994 0.9049 -64.8243 0.000e+00
other VELA28 300 2.842 2.33333333333 0 F160W 378.3867 68.5045 23.3148 8.5685 1.024415586 1.4254 0.7928 59.3078 0.000e+00
disk VELA28 300 2.842 2.33333333333 0 F160W 299.6134 299.7714 20.9160 6.8745 0.821887722 1.0000 0.9390 78.6769 0.000e+00
bulge VELA28 300 2.842 2.33333333333 0 F160W 300.4325 303.3943 23.2413 2.6711 0.3193460316 0.3160 0.5310 -86.6406 0.000e+00
other VELA28 300 2.842 2.33333333333 1 F160W 237.8626 258.9605 20.4241 16.8804 2.0181531024 1.4888 0.7417 -75.7281 0.000e+00
other VELA28 300 2.842 2.33333333333 1 F160W 532.2907 470.4475 23.4321 7.2472 0.8664462432 1.2877 0.8013 41.3784 0.000e+00
disk VELA28 300 2.842 2.33333333333 1 F160W 297.7729 299.9915 22.3244 4.3685 0.522280386 1.0000 0.6141 73.8257 0.000e+00
bulge VELA28 300 2.842 2.33333333333 1 F160W 304.1167 301.4083 21.2508 13.0165 1.556200674 2.3275 0.6268 69.8100 0.000e+00
other VELA28 300 2.842 2.33333333333 5 F160W 559.0084 66.1125 22.5909 15.9572 1.9077790032 0.3761 0.2254 8.6917 0.000e+00
other VELA28 300 2.842 2.33333333333 5 F160W 313.1904 410.5777 23.3241 7.7399 0.9253514844 1.3548 0.8927 37.1303 0.000e+00
disk VELA28 300 2.842 2.33333333333 5 F160W 299.9982 300.8416 21.8667 4.7534 0.5682974904 1.0000 0.4280 75.0752 0.000e+00
other VELA28 300 2.842 2.33333333333 5 F160W 389.3110 282.8021 20.4464 14.3225 1.71234081 1.8093 0.7701 -89.6581 0.000e+00
bulge VELA28 300 2.842 2.33333333333 5 F160W 304.3550 300.4830 21.0041 18.3379 2.1924059724 3.1864 0.8463 -88.2644 0.000e+00
other VELA28 300 2.842 2.33333333333 6 F160W 435.9024 267.3963 20.5387 13.8672 1.6579069632 1.3755 0.7905 67.2408 0.000e+00
other VELA28 300 2.842 2.33333333333 6 F160W 97.6033 507.5771 23.3692 8.1627 0.9758997612 1.3551 0.7568 -83.9727 0.000e+00
disk VELA28 300 2.842 2.33333333333 6 F160W 302.3718 299.6581 22.2154 4.6797 0.5594862132 1.0000 0.3634 -83.5965 0.000e+00
bulge VELA28 300 2.842 2.33333333333 6 F160W 298.5596 302.1812 21.1917 14.3464 1.7151981984 2.2656 0.4691 -83.5531 0.000e+00
other VELA28 300 2.842 2.33333333333 7 F160W 410.4069 366.7015 23.3741 7.0903 0.8476879068 1.2357 0.8510 32.3264 0.000e+00
other VELA28 300 2.842 2.33333333333 7 F160W 314.9777 258.6086 21.1189 64.6906 7.7341493736 0.0371 0.0950 18.4032 0.000e+00
disk VELA28 300 2.842 2.33333333333 7 F160W 335.5841 309.7469 20.3515 72.1470 8.625606732 1.0000 0.0923 -75.0391 0.000e+00
bulge VELA28 300 2.842 2.33333333333 7 F160W 340.8489 315.4211 21.1411 10.5976 1.2670066656 1.9355 0.8254 45.5961 0.000e+00
other VELA28 300 2.842 2.33333333333 8 F160W 370.9279 186.8336 22.7125 13.4175 1.60414263 0.2320 0.3035 3.6590 0.000e+00
other VELA28 300 2.842 2.33333333333 8 F160W 395.6857 370.8221 22.9761 10.9315 1.306926414 1.8196 0.8741 31.1665 0.000e+00
disk VELA28 300 2.842 2.33333333333 8 F160W 344.0893 305.4154 20.0822 83.2318 9.9508610808 1.0000 0.1107 -83.8293 0.000e+00
bulge VELA28 300 2.842 2.33333333333 8 F160W 349.3661 310.7397 21.4222 6.7381 0.8055802836 1.3716 0.8944 38.4490 0.000e+00
disk VELA28 310 2.982 2.22580645161 0 F160W 301.2717 302.4499 22.0198 4.0662 0.4861386072 1.0000 0.9669 -16.7129 0.000e+00
other VELA28 310 2.982 2.22580645161 0 F160W 420.3909 141.0621 21.6167 25.4839 3.0467531484 1.8830 0.4308 -63.7299 0.000e+00
other VELA28 310 2.982 2.22580645161 0 F160W 106.4820 418.4546 21.0852 88.0378 10.5254472168 4.6502 0.6966 -88.8381 0.000e+00
bulge VELA28 310 2.982 2.22580645161 0 F160W 299.3653 300.5552 19.6743 28.9891 3.4658208396 3.1387 0.8721 40.6676 0.000e+00
