galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
other VELA28 330 3.268 2.0303030303 7 F160W 303.3281 300.9421 19.1945 43.1579 5.1597858924 3.6242 0.6085 86.3333 0.000e+00
central VELA28 330 3.268 2.0303030303 7 F160W 297.9726 300.3529 21.0626 7.6310 0.912331836 1.8944 0.4921 62.4920 0.000e+00
other VELA28 330 3.268 2.0303030303 8 F160W 82.4791 450.2025 22.0773 5.2418 0.6266886408 2.2233 0.8770 80.1080 0.000e+00
other VELA28 330 3.268 2.0303030303 8 F160W 400.9071 392.2251 14.4035 221145.3594 26439.2545884 6.7715 0.0571 -49.5309 0.000e+00
central VELA28 330 3.268 2.0303030303 8 F160W 299.5134 300.3041 19.5445 16.0962 1.9243972872 1.7821 0.5171 -89.1952 0.000e+00
other VELA28 340 3.413 1.94117647059 0 F160W 348.9231 4.8381 22.9908 14.4578 1.7285167368 1.5915 0.9236 0.5803 0.000e+00
central VELA28 340 3.413 1.94117647059 0 F160W 301.1244 300.4244 18.9749 15.9779 1.9102538124 2.6678 0.9836 -84.8023 0.000e+00
central VELA28 340 3.413 1.94117647059 1 F160W 300.0995 299.5088 19.3655 24.5089 2.9301860484 2.4181 0.3432 -83.4531 0.000e+00
other VELA28 340 3.413 1.94117647059 1 F160W 11.5971 164.4114 21.7624 7.5245 0.899599122 2.3084 0.7921 83.7265 0.000e+00
other VELA28 340 3.413 1.94117647059 5 F160W 239.4689 108.0128 21.8725 8.4359 1.0085624604 2.0362 0.6970 -72.5922 0.000e+00
central VELA28 340 3.413 1.94117647059 5 F160W 299.8703 299.0706 19.3677 20.8421 2.4917981076 1.7815 0.4414 85.8853 0.000e+00
other VELA28 340 3.413 1.94117647059 6 F160W 561.5790 83.5832 21.6983 7.0243 0.8397972108 2.6859 0.9585 15.0610 0.000e+00
central VELA28 340 3.413 1.94117647059 6 F160W 301.0030 300.4808 19.0793 18.6821 2.2335571476 2.8281 0.7079 86.7245 0.000e+00
other VELA28 340 3.413 1.94117647059 7 F160W 150.4518 196.3848 21.9147 7.1965 0.860384754 1.8034 0.6976 86.5011 0.000e+00
central VELA28 340 3.413 1.94117647059 7 F160W 300.7432 301.2800 18.9970 39.7956 4.7578027536 3.4928 0.3770 -86.1162 0.000e+00
central VELA28 340 3.413 1.94117647059 8 F160W 300.6789 301.3970 19.1403 33.0033 3.9457425348 2.7184 0.4018 -86.3096 0.000e+00
other VELA28 340 3.413 1.94117647059 8 F160W 163.1531 183.4261 21.9314 7.2782 0.8701524792 1.8063 0.6913 89.1347 0.000e+00
central VELA28 350 3.560 1.85714285714 0 F160W 300.3845 300.5955 19.3323 9.4688 1.1320518528 2.2398 0.9700 -80.2298 0.000e+00
other VELA28 350 3.560 1.85714285714 0 F160W 410.4022 335.4902 19.6912 1430.0059 170.96578538 16.7460 0.6929 72.3578 0.000e+00
central VELA28 350 3.560 1.85714285714 1 F160W 300.2738 301.0972 19.4860 23.4088 2.7986624928 2.0564 0.4730 -86.6376 0.000e+00
central VELA28 350 3.560 1.85714285714 5 F160W 301.6521 300.1544 19.4801 18.5583 2.2187561148 2.9922 0.4755 -85.5142 0.000e+00
