sim	aexp	hid	difference_halo_gas	difference_stars_gas	difference_stars_halo	export_maxncellwside	export_ncells	export_ncellwside	export_ncellwside_actual	export_nstars	export_super_level	fake_halo	flag_bad_halo	halo_a[x]	halo_a[y]	halo_a[z]	halo_b_to_a	halo_c_to_a	halo_descid	halo_dr	halo_good	halo_id	halo_jx	halo_jy	halo_jz	halo_m200b	halo_m200c	halo_m2500c	halo_m500c	halo_mvir	halo_mvir_all	halo_norm_dr	halo_np	halo_rs	halo_rs_klypin	halo_rvir	halo_scale	halo_spin	halo_spin_bullock	halo_t/|u|	halo_vmax	halo_voff	halo_vrms	halo_vx	halo_vy	halo_vz	halo_x	halo_xoff	halo_y	halo_z	mass_gas	mass_metals	mass_sfr	log(mass_ssfr)[Gyr^-1]	mass_stars	mass_stars_middle	mass_stars_young	metal_modification	prefix	scale	sim_resolution_pc	sim_resolution_pchcm	sim_width_mpchcm
VELA12MRP	0.515565	8831	98.054	25.675	114.2	2	18200000	4	2	1670000	-2	0	1	11.271	1.899	56.799	0.729	0.63	5387	0.004	1	8831	-57680	70240	-7637	3.603E+11	3.42E+11	2.39E+11	3.012E+11	3.571E+11	3.571E+11	6.376	2170000	4.96	5.534	175.9	0.516	0	0	0	214.9	0	0	0	0	0	20.103	26.885	19.954	21.041	1.139E+15	228200000	1.748	-1.143600681	24330000000	133500000	17480000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.515565_0008831_	0.516	56.192	76.294	40
VELA12MRP	0.524168	8674	67.086	60.436	68.603	2	15890000	4	2	1682000	-2	0	1	11.154	3.312	52.073	0.724	0.629	8212	0.004	1	8674	-58100	53890	-4908	3.551E+11	3.376E+11	2.396E+11	2.98E+11	3.511E+11	3.511E+11	5.664	2677000	4.692	5.148	174.5	0.524	0	0	0	216.5	0	0	0	0	0	20.097	24.985	19.956	21.008	1.139E+15	230200000	1.566	-1.194019656	24480000000	136200000	15660000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.524168_0008674_	0.524	57.13	76.294	40
VELA12MRP	0.532677	8831	119.7	31.229	104.4	2	14400000	4	2	1689000	-2	0	1	11.178	4.579	54.346	0.728	0.628	8846	0.003	1	8831	-46790	41240	-6849	3.472E+11	3.321E+11	2.402E+11	2.97E+11	3.444E+11	3.444E+11	4.373	2228000	4.39	4.877	172.9	0.533	0	0	0	216.8	0	0	0	0	0	20.091	23.504	19.959	20.975	1.139E+15	232200000	1.002	-1.390243892	24610000000	121000000	10020000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.532677_0008831_	0.533	58.057	76.294	40
VELA12MRP	0.541761	7388	158.4	54.729	202.2	2	13500000	4	2	1697000	-2	0	1	11.543	6.722	56.166	0.728	0.618	8067	0.003	1	7388	-40570	29450	-7912	3.406E+11	3.278E+11	2.401E+11	2.952E+11	3.382E+11	3.382E+11	5.073	1776000	4.188	4.723	171.5	0.542	0	0	0	215.5	0	0	0	0	0	20.085	22.51	19.961	20.942	1.139E+15	234600000	1.245	-1.297879115	24720000000	104500000	12450000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.541761_0007388_	0.542	59.047	76.294	40
VELA12MRP	0.551123	7595	107.4	69.242	60.613	2	12480000	4	2	1703000	-2	0	1	11.477	5.93	50.707	0.741	0.634	7612	0.003	1	7595	-31540	24440	-9451	3.362E+11	3.239E+11	2.407E+11	2.94E+11	3.336E+11	3.336E+11	4.131	2188000	3.916	4.549	170.2	0.551	0	0	0	215.1	0	0	0	0	0	20.079	21.202	19.963	20.908	1.139E+15	238200000	1.005	-1.393509724	24870000000	124800000	10050000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.551123_0007595_	0.551	60.068	76.294	40
VELA12MRP	0.560972	8022	36.453	39.525	50.501	2	11500000	4	2	1710000	-2	0	1	11.654	6.081	50.337	0.744	0.638	7753	0.005	1	8022	-23040	21010	-10990	3.319E+11	3.205E+11	2.417E+11	2.925E+11	3.29E+11	3.29E+11	5.06	2017000	3.761	4.289	169	0.561	0	0	0	216.1	0	0	0	0	0	20.073	20.005	19.966	20.873	1.139E+15	240200000	0.902	-1.442385896	24980000000	92820000	9019000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.560972_0008022_	0.561	61.141	76.294	40
VELA13	0.11	5468	1009	81.539	993.8	2	5997000	4	2	13080	-2	0	1	10.047	-4.488	1.919	0.897	0.704	6039	0.091	1	5468	0.09	2.448	-4.316	5704000000	5701000000	1590000000	4370000000	5783000000	5783000000	7.245	6961	14.57	7.487	46.954	0.11	0	0	0.001	76.27	0	0	0	0	0	21.556	6.232	20.757	17.78	1.139E+15	4640000	0.466	0.742764462	84260000	46710000	4657000	None	/u/cmoody3/data2/export_sunrise_fits/VELA13/VELA13_a0.110_0005468_	0.11	24.007	152.6	40
VELA13	0.12	6039	1745	1623	144.2	2	6362000	4	2	16120	-2	0	1	4.142	-1.284	21.139	0.647	0.483	5863	0.061	1	6039	-6.611	-9.008	-5.244	6682000000	6673000000	62120000	4029000000	6969000000	6969000000	5.726	26910	49.853	14.463	49.955	0.12	0	0	0.001	72.03	0	0	0	0	0	21.517	17.099	20.725	17.856	1.139E+15	7747000	0.793	0.889822292	102200000	25040000	7932000	None	/u/cmoody3/data2/export_sunrise_fits/VELA13/VELA13_a0.120_0006039_	0.12	26.21	152.6	40
VELA13	0.13	5863	1936	2007	76.663	2	6557000	4	2	19950	-2	0	1	-6.084	11.081	13.074	0.892	0.632	7723	0.111	0	5863	-4.521	31.81	-36.39	9025000000	9008000000	68410000	5564000000	9339000000	9339000000	10.042	16640	43.004	14.756	55.063	0.13	0	0	0.001	76.81	0	0	0	0	0	21.482	12.515	20.684	17.885	1.139E+15	10580000	0.13	0.032956305	120500000	22120000	1302000	None	/u/cmoody3/data2/export_sunrise_fits/VELA13/VELA13_a0.130_0005863_	0.13	28.405	152.6	40
VELA13	0.14	7849	1863	1154	1252	2	7169000	4	2	26660	-2	0	1	5.817	-0.993	-4.965	0.906	0.74	7744	0.09	0	7849	-1.226	-65.07	-49.35	12500000000	12440000000	831400	4187000000	13340000000	13340000000	8.115	5287	60.704	27.804	61.998	0.14	0	0	0.002	81.29	0	0	0	0	0	21.485	21.521	20.642	17.988	1.139E+15	13440000	0.5	0.389978975	203700000	51910000	5004000	None	/u/cmoody3/data2/export_sunrise_fits/VELA13/VELA13_a0.140_0007849_	0.14	30.539	152.6	40
