galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
bulge VELA02 340 3.413 1.94117647059 1 F160W 24.1699 23.6580 24.5168 2.5574 1.3113153902 1.1228 0.8890 -79.0640 3.420e-04
disk VELA02 340 3.413 1.94117647059 5 F160W 23.7496 23.8669 24.5045 2.2502 1.15379756434 1.0000 0.7377 -28.9220 4.390e-04
bulge VELA02 340 3.413 1.94117647059 5 F160W 23.6514 21.7388 25.9255 8.5338 4.37573444784 0.0468 0.4955 54.4114 4.390e-04
disk VELA02 340 3.413 1.94117647059 6 F160W 24.0857 24.1416 24.3706 2.4338 1.24793907745 1.0000 0.5248 -87.7527 3.996e-04
bulge VELA02 340 3.413 1.94117647059 6 F160W 28.2641 21.9742 26.0562 12.5400 6.42992687618 1.9004 0.0105 -62.2437 3.996e-04
disk VELA02 340 3.413 1.94117647059 7 F160W 24.1461 24.5627 24.4495 2.2275 1.14215806353 1.0000 0.8240 -43.0243 5.137e-04
bulge VELA02 340 3.413 1.94117647059 7 F160W 23.4909 24.0293 25.5785 9.473e-03 0.00485731238421 19.7267 0.1401 -84.2509 5.137e-04
disk VELA02 340 3.413 1.94117647059 8 F160W 23.9031 24.0245 24.2586 2.1542 1.10457324375 1.0000 0.9492 30.5290 4.359e-04
bulge VELA02 340 3.413 1.94117647059 8 F160W 23.7431 24.5229 26.0287 7.242e-03 0.00371335968399 19.9928 0.2207 -7.4998 4.359e-04
disk VELA02 350 3.560 1.85714285714 0 F160W 25.3015 24.5962 24.5716 4.6018 2.36782606862 1.0000 0.4987 17.2074 4.116e-04
bulge VELA02 350 3.560 1.85714285714 0 F160W 24.0247 24.1224 24.7463 0.5888 0.302963185972 16.9160 0.1682 -83.6935 4.116e-04
disk VELA02 350 3.560 1.85714285714 1 F160W 19.3398 19.7129 26.6997 26.3963 13.5820433863 1.0000 0.0662 -73.7874 1.268e-04
bulge VELA02 350 3.560 1.85714285714 1 F160W 24.3280 24.6509 24.2302 2.6887 1.38345298594 1.3450 0.6594 76.7172 1.268e-04
disk VELA02 350 3.560 1.85714285714 5 F160W 24.3777 23.5257 24.5427 4.2915 2.20816323471 1.0000 0.5850 30.8398 2.803e-04
bulge VELA02 350 3.560 1.85714285714 5 F160W 24.7628 24.6914 25.2027 1.1156 0.574024677768 4.9653 0.0510 -66.2266 2.803e-04
disk VELA02 350 3.560 1.85714285714 6 F160W 26.7609 24.1155 24.9230 5.2078 2.67963940201 1.0000 0.3453 -78.2157 3.540e-04
bulge VELA02 350 3.560 1.85714285714 6 F160W 24.1587 24.6788 24.8876 1.2190 0.627228470957 1.4341 0.8849 35.8020 3.540e-04
disk VELA02 350 3.560 1.85714285714 7 F160W 24.2003 24.4805 24.2565 2.4282 1.24941441606 1.0000 0.7369 -70.9847 2.436e-04
bulge VELA02 350 3.560 1.85714285714 7 F160W 25.1386 19.4415 26.2541 11.4464 5.88967019685 0.0582 0.3948 -74.8399 2.436e-04
disk VELA02 360 3.709 1.77777777778 0 F160W 25.4667 25.0209 23.9396 3.0525 1.57455127275 1.0000 0.9236 -41.8546 5.260e-04
bulge VELA02 360 3.709 1.77777777778 0 F160W 35.9037 14.6090 25.1085 299.0513 154.257692066 12.3552 2.641e-03 -72.4393 5.260e-04
disk VELA02 360 3.709 1.77777777778 1 F160W 25.6791 25.4993 24.2134 4.0946 2.11209095541 1.0000 0.3899 89.1097 4.026e-04
bulge VELA02 360 3.709 1.77777777778 1 F160W 25.2853 26.7898 25.5012 25.5067 13.1569555933 17.5446 0.1650 -7.6731 4.026e-04
disk VELA02 360 3.709 1.77777777778 5 F160W 25.9252 25.5853 24.3066 2.9783 1.5362771681 1.0000 0.9359 47.5016 6.036e-04
bulge VELA02 360 3.709 1.77777777778 5 F160W 22.3638 25.2520 25.6606 3.1831 1.64191782352 0.0527 0.3330 83.4457 6.036e-04
disk VELA02 360 3.709 1.77777777778 6 F160W 27.5971 26.7790 25.3747 5.6693 2.92435824098 1.0000 0.1147 86.4064 5.093e-04
bulge VELA02 360 3.709 1.77777777778 6 F160W 25.4223 24.9246 24.5074 2.6996 1.39251715509 1.7611 0.6705 48.6896 5.093e-04
disk VELA02 360 3.709 1.77777777778 7 F160W 25.3632 24.8475 24.4633 3.1396 1.61947950071 1.0000 0.4005 78.0435 4.810e-04
bulge VELA02 360 3.709 1.77777777778 7 F160W 25.2080 27.9733 25.4488 6.2972 3.24824382465 0.0585 0.3197 -77.4359 4.810e-04
disk VELA02 360 3.709 1.77777777778 8 F160W 25.1050 25.6775 24.0852 3.6656 1.89080266843 1.0000 0.5816 -82.8322 4.563e-04
bulge VELA02 360 3.709 1.77777777778 8 F160W 27.9533 20.6595 27.2389 3.6044 1.85923426945 0.0760 0.8163 83.0667 4.563e-04
