galfit result file
galaxy ID, time step, age (GYr), camera, filter, type, pos error, px, py, sers error, sersic, mag, rad, b/a, angle, [component seperation distance]
VELA02, 330, 3.268, cam8, F160W, bulge, , 300.9906, 300.3486, , 2.0980, 18.9654, 20.5902, 0.9716, 59.8917, 6.77366878213
VELA02, 340, 3.413, cam0, F160W, bulge, , 300.8249, 296.0878, , 1.1704, 18.1534, 38.0921, 0.8621, 23.4795, 1.12269914492
*VELA02, 340, 3.413, cam0, F160W, disk, , 300.5268, 297.1702, *, 0.4587, 19.8535, 9.1872, 0.8892, 80.0084, 1.12269914492
*VELA02, 340, 3.413, cam1, F160W, disk, *, 301.1363, 300.5288, , 0.8651, 18.4198, 39.6390, 0.5575, -70.5257, 10.9195841958
*VELA02, 340, 3.413, cam1, F160W, bulge, *, 310.7288, 295.3114, , 2.5181, 19.7314, 30.3928, 0.5965, 73.7066, 10.9195841958
VELA02, 340, 3.413, cam5, F160W, disk, , 293.0432, 300.1756, , 0.8840, 18.7949, 54.9925, 0.8310, 87.2318, 7.38568520383
VELA02, 340, 3.413, cam5, F160W, bulge, , 299.4624, 296.5229, , 1.2642, 18.5773, 20.3741, 0.7260, -36.8994, 7.38568520383
*VELA02, 340, 3.413, cam6, F160W, disk, *, 303.7943, 299.6262, , 1.4164, 17.9764, 30.6660, 0.5693, -86.6267, 23.1008890188
*VELA02, 340, 3.413, cam6, F160W, bulge, *, 320.4682, 283.6377, , 4.7133, 21.2416, 23.9855, 0.7559, -3.1814, 23.1008890188
*VELA02, 340, 3.413, cam7, F160W, bulge, *, 297.0786, 298.0032, , 1.8225, 18.1581, 27.7141, 0.6947, -88.0223, 15.8867985359
*VELA02, 340, 3.413, cam7, F160W, disk, *, 284.7882, 308.0698, *, 0.3807, 19.6407, 64.7247, 0.5818, 1.0069, 15.8867985359
VELA02, 340, 3.413, cam8, F160W, disk, , 291.5854, 303.3127, , 0.5983, 19.2936, 56.1112, 0.7402, 8.6089, 8.04897468501
VELA02, 340, 3.413, cam8, F160W, bulge, , 297.1816, 297.5275, , 1.9237, 18.2582, 25.9554, 0.6801, -84.1567, 8.04897468501
VELA02, 350, 3.560, cam0, F160W, disk, , 306.2568, 299.7853, , 1.0451, 18.1458, 41.7998, 0.8840, 29.9446, 7.77696916093
*VELA02, 350, 3.560, cam0, F160W, bulge, , 298.4990, 299.2396, *, 0.3498, 19.0249, 11.1310, 0.8476, -30.7911, 7.77696916093
VELA02, 350, 3.560, cam1, F160W, disk, , 295.1928, 300.1098, , 1.1318, 18.2099, 41.8857, 0.6347, -81.9440, 6.9424544723
VELA02, 350, 3.560, cam1, F160W, bulge, , 302.1281, 300.4249, , 0.6447, 19.4682, 11.1072, 0.3659, 80.0785, 6.9424544723
VELA02, 350, 3.560, cam5, F160W, bulge, , 298.7158, 299.4370, , 0.8630, 18.8069, 14.2361, 0.5573, 89.9830, 8.08874113939
