galfit result file run on 07-11-2014
galaxyID timeStep age(GYr) camera filter px py mag rad sersicIndex b/a angle
VELA02 330 3.268 cam1 F160W 113.0494 274.2925 21.8008 22.9039 2.1513 0.5814 -27.7500
VELA02 330 3.268 cam1 F160W 221.6136 254.9766 20.2215 68.2128 0.4955 0.4600 -38.2171
VELA02 330 3.268 cam1 F160W 300.7054 300.6859 18.4804 29.7199 1.4125 0.4621 87.7396
VELA02 330 3.268 cam5 F160W 301.1759 301.4684 18.3529 30.1729 1.2200 0.8439 38.9548
VELA02 330 3.268 cam5 F160W 365.7304 414.7750 19.6163 52.3973 1.2797 0.5512 -30.8643
VELA02 330 3.268 cam6 F160W 297.7880 300.0262 18.5711 42.8121 0.8636 0.3688 -84.0996
VELA02 330 3.268 cam6 F160W 108.3419 216.3522 23.4108 31.0255 2.1015 0.3838 0.4127
VELA02 330 3.268 cam6 F160W 282.5892 358.2772 19.9256 37.8233 2.0213 0.7219 -21.4900
VELA02 330 3.268 cam7 F160W 420.1479 306.9509 19.2219 66.5690 1.0494 0.4422 -85.8753
VELA02 330 3.268 cam7 F160W 301.1146 299.7023 18.4091 30.1783 1.2680 0.8014 -31.8062
VELA02 330 3.268 cam8 F160W 301.3100 299.8858 18.4022 29.9487 1.2067 0.8240 -22.5312
VELA02 330 3.268 cam8 F160W 418.6194 328.3327 19.2665 62.2100 0.9345 0.4621 -76.0381
